year,period,team,value
2025,1st,Syracuse,145
2025,1st,Opponents,154
2025,2nd,Syracuse,147
2025,2nd,Opponents,143
2025,3rd,Syracuse,129
2025,3rd,Opponents,115
2025,4th,Syracuse,114
2025,4th,Opponents,138
2025,OT,Syracuse,3
2025,OT,Opponents,2
