year,period,team,value
2025,1st,Syracuse,74
2025,1st,Opponents,64
2025,2nd,Syracuse,65
2025,2nd,Opponents,52
2025,3rd,Syracuse,48
2025,3rd,Opponents,45
2025,4th,Syracuse,47
2025,4th,Opponents,59
2025,OT,Syracuse,1
2025,OT,Opponents,0
