year,period,team,value
2025,1st,Syracuse,43
2025,1st,Opponents,39
2025,2nd,Syracuse,42
2025,2nd,Opponents,47
2025,3rd,Syracuse,37
2025,3rd,Opponents,40
2025,4th,Syracuse,39
2025,4th,Opponents,39
2025,OT,Syracuse,1
2025,OT,Opponents,2
